feedback_id,student_id,department_id,date,feedback_text
1,S7732,7,2024-11-17,<b>It's decent but could use some improvement.</b>
2,S5227,5,2025-01-27,uhh I had to wait a long time to get support.
3,S8329,5,2024-10-15,<b>Facilities were outdated and not working properly.</b>
4,S1908,8,2024-12-28,uhh EXTREMELY FRUSTRATING EXPERIENCE WITH THE DEPARTMENT.
5,S2481,8,2024-12-20,I had a good experience with the support team.
6,S3637,8,2025-03-25,uhh  Clean  environment  and  well-maintained  infrastructure.
7,S4516,4,2025-03-22,The staff was really helpful and polite.
8,S3343,3,2025-05-30,Facilities were outdated and not working properly.
9,S8051,7,2025-04-23,<b>Facilities were outdated and not working properly.</b>
10,S5849,7,2025-01-21,The staff was really helpful and polite.
11,S6012,3,2024-07-20,uhh <b>Facilities were outdated and not working properly.</b>
12,S9341,3,2025-05-29,I  had  a  good  experience  with  the  support  team.
13,S2591,1,2025-03-23,uhh Facilities were great and easily accessible.
14,S2140,1,2025-04-29,I had a good experience with the support team.
15,S1580,8,2024-08-07,IT'S DECENT BUT COULD USE SOME IMPROVEMENT.
16,S3426,2,2024-12-14,I had to wait a long time to get support.
17,S2018,5,2025-03-01,"It was okay, not too baaad."
18,S5122,7,2025-04-14,<b>The staff was rude and unhelpful.</b>
19,S7487,8,2024-06-09,"uhh <b>Not much to say, it's functional.</b>"
20,S3161,3,2025-03-01,<b>Extremely frustrating experience with the department.</b>
21,S3426,2,2025-04-17,<b>Clean environment and well-maintained infrastructure.</b>
22,S7071,1,2025-04-14,I had to wait a long time to get support.
23,S6892,2,2024-09-16,It's decent but could use some improvement.
24,S4191,2,2025-06-03,I had a good experience with the support team.
25,S6254,1,2024-10-16,Facilities were outdated and not working properly.
26,S7033,5,2024-06-28,uhh  Clean  environment  and  well-maintained  infrastructure.
27,S8853,2,2024-12-02,"uhh NOTHING SPECIAL, JUST AN AVERAGE EXPERIENCE."
28,S9766,2,2024-08-10,FACILITIES WERE GREAT AND EASILY ACCESSIBLE. 😊
29,S2366,4,2024-08-24,<b>Facilities were outdated and not working properly.</b>
30,S3103,1,2025-04-21,It's  decent  but  could  use  some  improvement.
31,S4531,6,2024-07-14,"It was okay, not too baaad."
32,S5626,3,2025-03-21,<B>EXTREMELY FRUSTRATING EXPERIENCE WITH THE DEPARTMENT.</B>
33,S4844,5,2025-03-08,"Not much to say, it's functional."
34,S9676,1,2025-01-11,The services were fast and effective.
35,S2567,1,2024-12-22,uhh  I  HAD  TO  WAIT  A  LONG  TIME  TO  GET  SUPPORT.
36,S3524,4,2024-12-10,The services were fast and effective.
37,S8090,3,2024-10-26,"Not much to say, it's functional. 😊"
38,S4599,5,2024-07-10,<b>I had to wait a long time to get support. 😊</b>
39,S7476,4,2024-12-21,The  services  were  fast  and  effective.
40,S5637,7,2024-06-27,"Nothing special, just an average experience."
41,S4435,1,2025-05-01,The staff was rude and unhelpful.
42,S1516,3,2024-07-31,Facilities were outdated and not working properly.
43,S1151,2,2024-08-20,Facilities  were  outdated  and  not  working  properly.  😊
44,S2400,2,2024-09-05,EXTREMELY FRUSTRATING EXPERIENCE WITH THE DEPARTMENT.
45,S9445,6,2025-03-25,"Nothing special, just an average experience."
46,S4843,3,2024-09-27,uhh Facilities were great and easily accessible.
47,S4737,6,2024-10-29,<b>I had to wait a long time to get support.</b>
48,S9446,5,2024-12-17,The  staff  was  really  helpful  and  polite.  😊
49,S2113,6,2024-09-23,I had a good experience with the support team.
50,S6577,8,2024-08-26,THE STAFF WAS RUDE AND UNHELPFUL. 😊
51,S5997,5,2024-11-26,"Nothing  special,  just  an  average  experience.  😊"
52,S7697,5,2025-03-10,<b>Very poor service and delayed response. 😊</b>
53,S9450,3,2024-10-05,uhh <b>The services were fast and effective. 😊</b>
54,S1882,2,2024-11-01,VERY POOR SERVICE AND DELAYED RESPONSE.
55,S5567,7,2025-01-06,Clean environment and well-maintained infrastructure.
56,S9445,5,2025-02-13,uhh The staff was really helpful and polite.
57,S7790,2,2025-04-20,Clean environment and well-maintained infrastructure.
58,S9290,2,2025-03-28,The staff was rude and unhelpful.
59,S4999,5,2024-06-17,uhh <b>Very poor service and delayed response.</b>
60,S8789,3,2024-07-30,uhh I had a good experience with the support team. 😊
61,S3225,1,2025-03-02,I had to wait a long time to get support.
62,S3814,3,2024-08-07,THE STAFF WAS RUDE AND UNHELPFUL.
63,S4445,5,2024-10-21,uhh Very poor service and delayed response.
64,S5260,8,2024-10-02,uhh I had to wait a long time to get support.
65,S2796,8,2024-10-21,uhh  I  had  a  good  experience  with  the  support  team.
66,S7841,7,2025-01-26,uhh <b>Facilities were great and easily accessible.</b>
67,S9341,3,2025-05-07,Very poor service and delayed response.
68,S7841,5,2024-08-04,<b>I  had  to  wait  a  long  time  to  get  support.  😊</b>
69,S8619,5,2024-06-07,<b>Clean  environment  and  well-maintained  infrastructure.</b>
70,S7975,7,2025-01-01,Facilities were outdated and not working properly.
71,S4531,2,2025-05-17,<B>I HAD TO WAIT A LONG TIME TO GET SUPPORT.</B>
72,S1251,8,2024-11-28,I  had  to  wait  a  long  time  to  get  support.
73,S5166,4,2024-08-14,uhh  It's  decent  but  could  use  some  improvement.  😊
74,S3520,5,2025-05-11,<b>Extremely frustrating experience with the department. 😊</b>
75,S3025,8,2025-01-27,Facilities were outdated and not working properly. 😊
76,S7476,6,2024-10-28,uhh The staff was really helpful and polite.
77,S4445,6,2025-02-27,The  services  were  fast  and  effective.
78,S3814,8,2025-01-17,THE SERVICES WERE FAST AND EFFECTIVE.
79,S5974,6,2025-05-03,uhh THE SERVICES WERE FAST AND EFFECTIVE.
80,S7071,7,2024-07-03,Extremely frustrating experience with the department.
81,S5203,6,2024-12-17,I had a good experience with the support team.
82,S1580,2,2024-06-16,<b>It's decent but could use some improvement.</b>
83,S7697,2,2025-01-21,FACILITIES WERE OUTDATED AND NOT WORKING PROPERLY.
84,S4463,3,2024-11-02,Extremely frustrating experience with the department.
85,S9445,7,2024-10-30,The services were fast and effective.
86,S5394,2,2025-05-20,EXTREMELY FRUSTRATING EXPERIENCE WITH THE DEPARTMENT. 😊
87,S6024,1,2025-03-01,<b>Facilities were great and easily accessible.</b>
88,S2591,1,2025-02-16,uhh <b>It's decent but could use some improvement.</b>
89,S3418,8,2024-06-11,uhh I had to wait a long time to get support. 😊
90,S4510,4,2024-12-20,uhh <b>I had a goood experience with the support team. 😊</b>
91,S7071,4,2024-07-31,Clean environment and well-maintained infrastructure.
92,S4516,6,2024-11-03,Extremely frustrating experience with the department.
93,S5662,5,2025-03-19,Very poor service and delayed response.
94,S4445,8,2025-05-26,I had to wait a long time to get support. 😊
95,S7917,7,2024-10-31,"<B>NOTHING SPECIAL, JUST AN AVERAGE EXPERIENCE.</B>"
96,S4445,8,2024-11-05,The staff was rude and unhelpful.
97,S3088,7,2024-12-28,<b>The services were fast and effective.</b>
98,S2018,1,2024-09-08,<b>Extremely frustrating experience with the department.</b>
99,S3000,7,2025-05-24,Facilities were outdated and not working properly.
100,S5637,8,2025-03-21,The services were fast and effective.
101,S6300,7,2024-11-12,<b>Facilities  were  great  and  easily  accessible.  😊</b>
102,S6215,4,2024-12-18,uhh Clean environment and well-maintained infrastructure.
103,S8967,6,2025-02-24,The system works fine most of the time. 😊
