feedback_id,department_name,student_id,date,feedback_text,sentiment
13,Library,S2591,3/23/2025,uhh Facilities were great and easily accessible.,positive
14,Library,S2140,4/29/2025,I had a good experience with the support team.,positive
22,Library,S7071,4/14/2025,I had to wait a long time to get support.,negative
25,Library,S6254,10/16/2024,Facilities were outdated and not working properly.,negative
30,Library,S3103,4/21/2025,It's  decent  but  could  use  some  improvement.,neutral
34,Library,S9676,1/11/2025,The services were fast and effective.,positive
35,Library,S2567,12/22/2024,uhh  I  HAD  TO  WAIT  A  LONG  TIME  TO  GET  SUPPORT.,negative
41,Library,S4435,5/1/2025,The staff was rude and unhelpful.,negative
61,Library,S3225,3/2/2025,I had to wait a long time to get support.,negative
87,Library,S6024,3/1/2025,<b>Facilities were great and easily accessible.</b>,positive
88,Library,S2591,2/16/2025,uhh <b>It's decent but could use some improvement.</b>,neutral
98,Library,S2018,9/8/2024,<b>Extremely frustrating experience with the department.</b>,negative
108,Library,S5731,10/12/2024,The system works fine most of the time.,neutral
109,Library,S4101,7/27/2024,Facilities were great and easily accessible. Ã°Å¸ËœÅ ,positive
132,Library,S9472,12/19/2024,Facilities were great and easily accessible.,positive
134,Library,S5567,7/20/2024,The  staff  was  rude  and  unhelpful.,negative
143,Library,S4683,7/6/2024,"<B>IT WAS OKAY, NOT TOO BAAAD.</B>",neutral
156,Library,S5949,4/22/2025,<B>I HAD TO WAIT A LONG TIME TO GET SUPPORT.</B>,negative
158,Library,S3011,11/30/2024,The staff was rude and unhelpful.,negative
159,Library,S1954,8/2/2024,"Not much to say, it's functional.",neutral
161,Library,S7033,12/31/2024,THE SERVICES WERE FAST AND EFFECTIVE.,positive
168,Library,S6389,8/24/2024,"Not much to say, it's functional.",neutral
171,Library,S6389,10/3/2024,uhh The staff was rude and unhelpful.,negative
199,Library,S6610,6/21/2024,Clean environment and well-maintained infrastructure.,positive
200,Library,S4577,5/3/2025,Extremely  frustrating  experience  with  the  department.,negative
209,Library,S4543,5/26/2025,"Nothing special, just an average experience.",neutral
210,Library,S2796,10/3/2024,It's decent but could use some improvement. Ã°Å¸ËœÅ ,neutral
232,Library,S3745,8/18/2024,uhh The system works fine most of the time.,positive
